root,source,direct_files,recursive_files,direct_bytes,proposed,status,reason
Garçons (Gelbooru),bound restrained,1,1,132705,Sexual themes/Bdsm/bound restrained,move,pratique sexuelle classée dans Bdsm
Garçons (Gelbooru),butt_plug,6,6,1434308,Sexual themes/Penetration/butt_plug,move,pratique sexuelle classée dans Penetration
Garçons (Gelbooru),camera,2,2,278133,camera,review,aucune correspondance sûre dans les familles actuelles
Garçons (Gelbooru),centauroid,3,3,2022622,centauroid,review,aucune correspondance sûre dans les familles actuelles
Garçons (Gelbooru),chair,2,2,422968,chair,review,aucune correspondance sûre dans les familles actuelles
Garçons (Gelbooru),chastity_cage,66,66,31278468,Sexual themes/chastity_cage,move,parité directe avec la galerie Tags
Garçons (Gelbooru),computer,1,1,393238,computer,review,aucune correspondance sûre dans les familles actuelles
Garçons (Gelbooru),condom_belt,2,2,553386,Sexual themes/condom_belt,move,parité directe avec la galerie Tags
Garçons (Gelbooru),crossdressing,47,47,9672571,crossdressing,keep,reste à la racine comme dans la galerie Tags
Garçons (Gelbooru),cuffs,5,5,1156733,Sexual themes/Bdsm/cuffs,move,pratique sexuelle classée dans Bdsm
Garçons (Gelbooru),cum_in_mouth,9,9,3326909,Sexual themes/Oral/cum_in_mouth,move,pratique sexuelle classée dans Oral
Garçons (Gelbooru),cum_on_face,7,7,1965907,Sexual themes/Oral/cum_on_face,move,pratique sexuelle classée dans Oral
Garçons (Gelbooru),dancer,2,2,369703,dancer,review,aucune correspondance sûre dans les familles actuelles
Garçons (Gelbooru),dark-skinned_male,9,9,2425378,dark-skinned_male,review,aucune correspondance sûre dans les familles actuelles
Garçons (Gelbooru),defeated,6,6,1980133,Sexual themes/Non-consensual/defeated,move,pratique sexuelle classée dans Non-consensual
Garçons (Gelbooru),delinquent,7,7,1280719,delinquent,review,aucune correspondance sûre dans les familles actuelles
Garçons (Gelbooru),demon_boy,1,1,211540,demon_boy,review,aucune correspondance sûre dans les familles actuelles
Garçons (Gelbooru),doctor,2,2,235480,doctor,review,aucune correspondance sûre dans les familles actuelles
Garçons (Gelbooru),dress_lift,3,3,608765,dress_lift,review,aucune correspondance sûre dans les familles actuelles
Garçons (Gelbooru),elf,6,6,2074921,elf,review,aucune correspondance sûre dans les familles actuelles
Garçons (Gelbooru),embarrassed,23,23,7075521,embarrassed,review,aucune correspondance sûre dans les familles actuelles
Garçons (Gelbooru),erection_under_clothes,4,4,790692,Sexual themes/erection_under_clothes,move,parité directe avec la galerie Tags
Garçons (Gelbooru),fake_tail,4,4,532024,fake_tail,review,aucune correspondance sûre dans les familles actuelles
Garçons (Gelbooru),fellatio,56,56,16062923,Sexual themes/Oral/fellatio,move,pratique sexuelle classée dans Oral
Garçons (Gelbooru),fellatio forced,3,3,468354,Sexual themes/Non-consensual/fellatio forced,move,requête composite non consentie
Garçons (Gelbooru),fellatio rape,2,2,275376,Sexual themes/Non-consensual/fellatio rape,move,requête composite non consentie
Garçons (Gelbooru),femdom,12,12,3808819,Sexual themes/femdom,move,parité directe avec la galerie Tags
Garçons (Gelbooru),femdom futanari,22,22,4921918,Sexual themes/femdom futanari,move,parité directe avec la galerie Tags
Garçons (Gelbooru),flat_chastity_cage,8,8,1710789,Sexual themes/flat_chastity_cage,move,parité directe avec la galerie Tags
Garçons (Gelbooru),flat_chest glasses,1,1,259501,flat_chest glasses,review,aucune correspondance sûre dans les familles actuelles
Garçons (Gelbooru),forced,3,3,624519,Sexual themes/Non-consensual/forced,move,requête composite non consentie
Garçons (Gelbooru),freckles,1,1,340380,freckles,review,aucune correspondance sûre dans les familles actuelles
Garçons (Gelbooru),gang_rape,9,9,3244591,Sexual themes/Non-consensual/gang_rape,move,requête composite non consentie
Garçons (Gelbooru),ganguro,2,2,314936,ganguro,review,aucune correspondance sûre dans les familles actuelles
Garçons (Gelbooru),gaping,15,15,4105604,Sexual themes/Penetration/gaping,move,pratique sexuelle classée dans Penetration
Garçons (Gelbooru),glasses,21,21,8128252,glasses,review,aucune correspondance sûre dans les familles actuelles
Garçons (Gelbooru),glory_hole,1,1,362072,Sexual themes/Oral/glory_hole,move,pratique sexuelle classée dans Oral
Garçons (Gelbooru),gynomorph,7,7,1550824,gynomorph,keep,reste à la racine comme dans la galerie Tags
Garçons (Gelbooru),Hairstyles,0,19,0,Hairstyles,keep,déjà sous une famille structurée
Garçons (Gelbooru),Hairstyles/hair_bun,1,1,136205,Hairstyles/hair_bun,keep,déjà sous une famille structurée
