root,source,direct_files,recursive_files,direct_bytes,proposed,status,reason
Garçons (Gelbooru),Weapons/bow_(weapon),2,2,618167,Weapons/bow_(weapon),keep,déjà sous une famille structurée
Garçons (Gelbooru),Weapons/Firearms,0,7,0,Weapons/Firearms,keep,déjà sous une famille structurée
Garçons (Gelbooru),Weapons/Firearms/firearm,7,7,2071052,Weapons/Firearms/firearm,keep,déjà sous une famille structurée
Garçons (Gelbooru),Weapons/holding_weapon,2,2,351385,Weapons/holding_weapon,keep,déjà sous une famille structurée
Garçons (Gelbooru),Weapons/knife,1,1,166032,Weapons/knife,keep,déjà sous une famille structurée
Garçons (Gelbooru),Weapons/shield,1,1,235578,Weapons/shield,keep,déjà sous une famille structurée
Garçons (Gelbooru),Weapons/spear,1,1,68826,Weapons/spear,keep,déjà sous une famille structurée
Garçons (Gelbooru),Weapons/Swords,0,11,0,Weapons/Swords,keep,déjà sous une famille structurée
Garçons (Gelbooru),Weapons/Swords/axe sword,1,1,254063,Weapons/Swords/axe sword,keep,déjà sous une famille structurée
Garçons (Gelbooru),Weapons/Swords/dagger knife sword,1,1,196614,Weapons/Swords/dagger knife sword,keep,déjà sous une famille structurée
Garçons (Gelbooru),Weapons/Swords/holding_weapon sword,3,3,797476,Weapons/Swords/holding_weapon sword,keep,déjà sous une famille structurée
Garçons (Gelbooru),Weapons/Swords/sword,6,6,1097872,Weapons/Swords/sword,keep,déjà sous une famille structurée
Garçons (Gelbooru),wizard,1,1,232450,wizard,review,aucune correspondance sûre dans les familles actuelles
Garçons (Gelbooru),yaoi,11,11,3188524,Sexual themes/yaoi,move,parité directe avec la galerie Tags
Garçons (Gelbooru) s&l,anal_beads,2,2,176871,Sexual themes/Penetration/anal_beads,move,pratique sexuelle classée dans Penetration
Garçons (Gelbooru) s&l,anal_fingering,1,1,156344,Sexual themes/Penetration/anal_fingering,move,pratique sexuelle classée dans Penetration
Garçons (Gelbooru) s&l,anal_object_insertion,3,3,407645,Sexual themes/Penetration/anal_object_insertion,move,pratique sexuelle classée dans Penetration
Garçons (Gelbooru) s&l,androgynous,1,1,343200,androgynous,keep,reste à la racine comme dans la galerie Tags
Garçons (Gelbooru) s&l,bdsm,1,4,114992,Sexual themes/Bdsm/bdsm,move,pratique sexuelle classée dans Bdsm
Garçons (Gelbooru) s&l,bdsm/bdsm rope,1,1,164750,Sexual themes/Bdsm/bdsm/bdsm rope,move,pratique sexuelle classée dans Bdsm
Garçons (Gelbooru) s&l,bdsm/bdsm tape_gag gagged,2,2,897255,Sexual themes/Bdsm/bdsm/bdsm tape_gag gagged,move,pratique sexuelle classée dans Bdsm
Garçons (Gelbooru) s&l,bondage,1,1,193805,Sexual themes/Bdsm/bondage,move,pratique sexuelle classée dans Bdsm
Garçons (Gelbooru) s&l,chastity_cage,2,2,232042,Sexual themes/chastity_cage,move,parité directe avec la galerie Tags
Garçons (Gelbooru) s&l,cum_in_mouth,1,1,236488,Sexual themes/Oral/cum_in_mouth,move,pratique sexuelle classée dans Oral
Garçons (Gelbooru) s&l,cum_on_face,1,1,175291,Sexual themes/Oral/cum_on_face,move,pratique sexuelle classée dans Oral
Garçons (Gelbooru) s&l,erection_under_clothes,1,1,149531,Sexual themes/erection_under_clothes,move,parité directe avec la galerie Tags
Garçons (Gelbooru) s&l,fellatio,9,9,1669094,Sexual themes/Oral/fellatio,move,pratique sexuelle classée dans Oral
Garçons (Gelbooru) s&l,fellatio rape,1,1,94746,Sexual themes/Non-consensual/fellatio rape,move,requête composite non consentie
Garçons (Gelbooru) s&l,femdom,3,3,816308,Sexual themes/femdom,move,parité directe avec la galerie Tags
Garçons (Gelbooru) s&l,fucked_silly,2,2,265084,fucked_silly,review,aucune correspondance sûre dans les familles actuelles
Garçons (Gelbooru) s&l,gaping,5,5,812846,Sexual themes/Penetration/gaping,move,pratique sexuelle classée dans Penetration
Garçons (Gelbooru) s&l,glasses,1,1,154502,glasses,review,aucune correspondance sûre dans les familles actuelles
Garçons (Gelbooru) s&l,interracial & interspecies,3,3,495428,interracial & interspecies,keep,reste à la racine comme dans la galerie Tags
Garçons (Gelbooru) s&l,leash,1,1,521474,Sexual themes/Bdsm/leash,move,pratique sexuelle classée dans Bdsm
Garçons (Gelbooru) s&l,maid,2,2,481924,maid,review,aucune correspondance sûre dans les familles actuelles
Garçons (Gelbooru) s&l,pants,0,1,0,pants,review,aucune correspondance sûre dans les familles actuelles
Garçons (Gelbooru) s&l,pants/black_pants,1,1,399959,pants/black_pants,review,aucune correspondance sûre dans les familles actuelles
Garçons (Gelbooru) s&l,Piercings,0,2,0,Piercings,keep,déjà sous une famille structurée
Garçons (Gelbooru) s&l,Piercings/piercing,2,2,177125,Piercings/piercing,keep,déjà sous une famille structurée
Garçons (Gelbooru) s&l,rape,5,5,1075171,Sexual themes/Non-consensual/rape,move,requête composite non consentie
Garçons (Gelbooru) s&l,rape broken_rape_victim,1,1,158693,Sexual themes/Non-consensual/rape broken_rape_victim,move,requête composite non consentie
Garçons (Gelbooru) s&l,rape imminent_rape,1,1,244974,Sexual themes/Non-consensual/rape imminent_rape,move,requête composite non consentie
Garçons (Gelbooru) s&l,rape restrained,3,3,432651,Sexual themes/Non-consensual/rape restrained,move,requête composite non consentie
Garçons (Gelbooru) s&l,Relations,0,1,0,Relations,keep,déjà sous une famille structurée
Garçons (Gelbooru) s&l,Relations/twins,1,1,281871,Relations/twins,keep,déjà sous une famille structurée
Garçons (Gelbooru) s&l,restrained,3,3,402003,Sexual themes/Bdsm/restrained,move,pratique sexuelle classée dans Bdsm
Garçons (Gelbooru) s&l,school_uniform,1,1,279588,school_uniform,review,aucune correspondance sûre dans les familles actuelles
Garçons (Gelbooru) s&l,sex_toy,1,1,84288,Sexual themes/Sextoys/sex_toy,move,pratique sexuelle classée dans Sextoys
Garçons (Gelbooru) s&l,Sexual themes,0,4,0,Sexual themes,keep,déjà sous une famille structurée
Garçons (Gelbooru) s&l,Sexual themes/futanari femdom,1,1,729729,Sexual themes/futanari femdom,keep,déjà sous une famille structurée
Garçons (Gelbooru) s&l,Sexual themes/Sextoys,0,3,0,Sexual themes/Sextoys,keep,déjà sous une famille structurée
Garçons (Gelbooru) s&l,Sexual themes/Sextoys/Vibrators,0,3,0,Sexual themes/Sextoys/Vibrators,keep,déjà sous une famille structurée
Garçons (Gelbooru) s&l,Sexual themes/Sextoys/Vibrators/squatting vibrator,1,1,326934,Sexual themes/Sextoys/Vibrators/squatting vibrator,keep,déjà sous une famille structurée
Garçons (Gelbooru) s&l,Sexual themes/Sextoys/Vibrators/vibrator,1,1,158799,Sexual themes/Sextoys/Vibrators/vibrator,keep,déjà sous une famille structurée
Garçons (Gelbooru) s&l,Sexual themes/Sextoys/Vibrators/vibrator_under_clothes,1,1,1001393,Sexual themes/Sextoys/Vibrators/vibrator_under_clothes,keep,déjà sous une famille structurée
Garçons (Gelbooru) s&l,slave,1,1,1538019,Sexual themes/Bdsm/slave,move,pratique sexuelle classée dans Bdsm
Garçons (Gelbooru) s&l,Styles vestimentaires,0,1,0,Styles vestimentaires,keep,déjà sous une famille structurée
Garçons (Gelbooru) s&l,Styles vestimentaires/hooded_jacket,1,1,162270,Styles vestimentaires/hooded_jacket,keep,déjà sous une famille structurée
Garçons (Gelbooru) s&l,trap,8,9,1528531,trap,keep,reste à la racine comme dans la galerie Tags
Garçons (Gelbooru) s&l,trap/und,1,1,106221,trap/und,keep,reste à la racine comme dans la galerie Tags
